product_id,product_name,source_platform,source_detected,rule_decision,opportunity_score,next_action,overall_evidence_coverage,missing_evidence_total,llm_review_result,llm_confidence,final_human_review_priority,final_human_review_reason,llm_challenge_reason,llm_missing_evidence,llm_real_called
echo-1,Echo Pet Brush,echotik,echotik,small_test,60,小样本测试，先发1-2条验证CTR/转化,weak,38,insufficient_evidence,low,high,LLM Judge 判断证据不足，且整体证据覆盖较弱，需优先补证,,"[""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context""]",False
echo-2,Echo Storage Bag,echotik,echotik,small_test,45,小样本测试，先发1-2条验证CTR/转化,weak,36,insufficient_evidence,low,high,LLM Judge 判断证据不足，且整体证据覆盖较弱，需优先补证,,"[""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context""]",False
echo-3,Echo Mini Fan,echotik,echotik,small_test,45,小样本测试，先发1-2条验证CTR/转化,weak,36,challenge,medium,high,LLM Judge 对规则结果提出挑战，需人工复核,规则结果保留，但运营发布前需要人工复核风险项。,"[""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context""]",False
fm-1,FastMoss Cat Bowl,fastmoss,fastmoss,small_test,55,小样本测试，先发1-2条验证CTR/转化,weak,35,insufficient_evidence,low,high,LLM Judge 判断证据不足，且整体证据覆盖较弱，需优先补证,,"[""growth_7d"", ""growth_30d"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""market-specific pet season signal""]",False
fm-2,FastMoss Desk Lamp,fastmoss,fastmoss,small_test,55,小样本测试，先发1-2条验证CTR/转化,weak,33,insufficient_evidence,low,high,LLM Judge 判断证据不足，且整体证据覆盖较弱，需优先补证,,"[""growth_7d"", ""growth_30d"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count""]",False
fm-3,FastMoss Cable Set,fastmoss,fastmoss,hold,40,暂缓，不进今日主推池，补齐证据后再测,weak,33,challenge,medium,high,LLM Judge 对规则结果提出挑战，需人工复核,规则结果保留，但运营发布前需要人工复核风险项。,"[""growth_7d"", ""growth_30d"", ""related_influencer_count"", ""review text themes"", ""negative review clusters"", ""rating"", ""review_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count""]",False
kalo-1,KaLoData Travel Cup,kalodata,kalodata,small_test,62,小样本测试，先发1-2条验证CTR/转化,weak,28,insufficient_evidence,low,high,LLM Judge 判断证据不足，且整体证据覆盖较弱，需优先补证,,"[""growth_7d"", ""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check""]",False
kalo-3,KaLoData Makeup Bag,kalodata,kalodata,small_test,62,小样本测试，先发1-2条验证CTR/转化,weak,28,challenge,medium,high,LLM Judge 对规则结果提出挑战，需人工复核,规则结果保留，但运营发布前需要人工复核风险项。,"[""growth_7d"", ""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check""]",False
kalo-2,KaLoData Phone Stand,kalodata,kalodata,hold,47,暂缓，不进今日主推池，补齐证据后再测,weak,28,challenge,medium,high,LLM Judge 对规则结果提出挑战，需人工复核,规则结果保留，但运营发布前需要人工复核风险项。,"[""growth_7d"", ""growth_30d"", ""strong related_video_count signal"", ""related_video_count"", ""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check""]",False
manual-3,手工桌面风扇,manual,manual,main_push,100,今天可主推，进入账号分发表,strong,16,agree,high,low,LLM Judge 高置信同意规则结果,,"[""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check"", ""merchant_name"", ""shop_rating""]",False
manual-1,手工收纳盒,manual,manual,small_test,62,小样本测试，先发1-2条验证CTR/转化,strong,16,agree,high,low,LLM Judge 高置信同意规则结果,,"[""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check"", ""merchant_name"", ""shop_rating""]",False
manual-2,手工宠物碗,manual,manual,hold,55,暂缓，不进今日主推池，补齐证据后再测,strong,18,agree,high,low,LLM Judge 高置信同意规则结果,,"[""review text themes"", ""negative review clusters"", ""Google Trends signal"", ""TikTok hashtag volume"", ""Instagram/Reels context"", ""YouTube Shorts context"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check"", ""merchant_name"", ""shop_rating""]",False
