source_platform,source_rank,product_id,product_name,category,price,commission_rate,sold_count,gmv,opportunity_score,decision,decision_label,distribution_priority,risk_level,risk_flags,strongest_dimensions,weakest_dimensions,missing_evidence_count,core_decision_basis,recommended_formats,recommended_hooks,suggested_daily_posts,account_type,next_action,next_action_consistent,manager_instruction
manual,1,manual-3,手工桌面风扇,电子,17.9,12%,620,11098,100,main_push,今天可主推,P0_今日主推,attention,需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）,"profit_window(96), merchant_quality(75), aigc_fit(74)","external_trend(45), seasonality(45), demand_pain(47)",10,主推依据：profit_window: strong (96)；demand_pain: weak (47)；seasonality: weak (45),photo；video,problem_solution；daily_usefulness；shelf_value_deal,3,general,今天可主推，进入账号分发表,yes,进入今日主推池，优先生成图文素材
kalodata,1,kalo-1,KaLoData Travel Cup,Kitchen,10.9,10%,680,7412,62,small_test,小样本测试,P1_小样本测试,attention,外部趋势证据不足（weak）；建议先小样本验证,"aigc_fit(96), merchant_quality(75), competition(67)","external_trend(35), profit_window(56), seasonality(59)",13,判断依据：profit_window: medium (56)；demand_pain: medium (61)；seasonality: medium (59),photo,problem_solution；daily_usefulness；shelf_value_deal,2,mature_female_home,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
kalodata,2,kalo-3,KaLoData Makeup Bag,Beauty,9.9,9%,440,4356,62,small_test,小样本测试,P1_小样本测试,high_review,利润窗口偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；功效表达需谨慎，避免缺少证据的效果承诺；缺少外部趋势证据，建议先小样本测试；建议先小样本验证,"aigc_fit(86), merchant_quality(75), competition(61)","profit_window(40), seasonality(45), external_trend(47)",13,判断依据：profit_window: weak (40)；demand_pain: medium (57)；seasonality: weak (45),photo,before_after；daily_usefulness；gift_for_her,2,young_female_lifestyle,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
manual,2,manual-1,手工收纳盒,家居,11.9,10%,350,4165,62,small_test,小样本测试,P1_小样本测试,attention,需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；建议先小样本验证,"merchant_quality(75), aigc_fit(74), profit_window(64)","external_trend(35), seasonality(45), demand_pain(47)",10,判断依据：profit_window: medium (64)；demand_pain: weak (47)；seasonality: weak (45),photo；video,problem_solution；daily_usefulness；shelf_value_deal,2,general,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
echotik,1,echo-1,Echo Pet Brush,Pet Supplies,12.9,12%,820,10578,60,small_test,小样本测试,P1_小样本测试,attention,外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,"aigc_fit(96), profit_window(74), seasonality(65)","merchant_quality(45), external_trend(51), demand_pain(57)",16,判断依据：profit_window: medium (74)；demand_pain: medium (57)；seasonality: medium (65),photo,pet_behavior；problem_solution；daily_usefulness,2,pet/home/lifestyle,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
fastmoss,1,fm-1,FastMoss Cat Bowl,Pet Supplies,15.9,11%,510,8109,55,small_test,小样本测试,P1_小样本测试,attention,商家质量证据不足（weak）；建议先小样本验证,"aigc_fit(96), competition(69), seasonality(65)","merchant_quality(45), demand_pain(57), external_trend(61)",16,判断依据：profit_window: medium (64)；demand_pain: medium (57)；seasonality: medium (65),photo,pet_behavior；problem_solution；daily_usefulness,2,pet/home/lifestyle,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
fastmoss,2,fm-2,FastMoss Desk Lamp,Home,19.9,8%,390,7761,55,small_test,小样本测试,P1_小样本测试,attention,利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,"aigc_fit(74), competition(63), seasonality(59)","external_trend(45), merchant_quality(45), profit_window(48)",15,判断依据：profit_window: weak (48)；demand_pain: weak (49)；seasonality: medium (59),photo,problem_solution；daily_usefulness；shelf_value_deal,2,mature_female_home,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
echotik,2,echo-2,Echo Storage Bag,Home,8.5,10%,430,3655,45,small_test,小样本测试,P1_小样本测试,attention,需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,"aigc_fit(90), competition(61), seasonality(59)","external_trend(35), merchant_quality(45), demand_pain(49)",15,判断依据：profit_window: medium (56)；demand_pain: weak (49)；seasonality: medium (59),photo,problem_solution；daily_usefulness；shelf_value_deal,2,mature_female_home,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
echotik,3,echo-3,Echo Mini Fan,Electronics,16.8,9%,1200,20160,45,small_test,小样本测试,P1_小样本测试,high_review,Medium product risk level.；Human review is required.；商家质量证据不足（weak）；建议先小样本验证,"seasonality(77), demand_pain(72), aigc_fit(72)","merchant_quality(45), external_trend(57), profit_window(58)",15,判断依据：profit_window: medium (58)；demand_pain: medium (72)；seasonality: strong (77),photo；video,pain_point_hot_weather；no_installation；small_space_solution,2,male_functional,小样本测试，先发1-2条验证CTR/转化,yes,进入小样本测试池，先生成1-2条素材验证CTR/转化
manual,3,manual-2,手工宠物碗,宠物,14.9,8%,280,4172,55,hold,暂缓,P2_暂缓补证,attention,利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）,"aigc_fit(74), merchant_quality(63), competition(55)","demand_pain(35), external_trend(35), seasonality(45)",11,判断依据：profit_window: weak (48)；demand_pain: weak (35)；seasonality: weak (45),photo；video,problem_solution；daily_usefulness；shelf_value_deal,1,general,暂缓，不进今日主推池，补齐证据后再测,yes,暂缓进入今日生产，可继续观察数据
