batch_product_key,batch_input_filename,batch_input_path,batch_source_detected,batch_file_index,batch_product_index,rank,product_id,product_name,category,source_platform,price,commission_rate,sold_count,gmv,opportunity_score,decision,suggested_format,suggested_daily_posts,recommended_hooks,content_angle_summary,reasons,risk_flags,ops_risk_note,dimension_summary,strongest_dimensions,weakest_dimensions,missing_evidence_count,main_push_reason,next_action
file-000:product-000:echo-1,mock_echotik_products.xlsx,product_intel/mock_echotik_products.xlsx,echotik,0,0,1,echo-1,Echo Pet Brush,Pet Supplies,echotik,12.9,12%,820,10578,60,small_test,photo,2,"pet_behavior, problem_solution, daily_usefulness","Start with pet_behavior, problem_solution, daily_usefulness; keep claims grounded in the Product Fact Sheet.","7-day growth is above 20%., Commission rate is at least 8%.","外部趋势证据不足（weak）, 商家质量证据不足（weak）, 建议先小样本验证",运营提醒：外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,profit_window:medium/74; demand_pain:medium/57; external_trend:weak/51; seasonality:medium/65; competition:medium/61; merchant_quality:weak/45; aigc_fit:strong/96; final:small_test/64,"aigc_fit(96), profit_window(74), seasonality(65)","merchant_quality(45), external_trend(51), demand_pain(57)",16,判断依据：profit_window: medium (74)；demand_pain: medium (57)；seasonality: medium (65),小样本测试，先发1-2条验证CTR/转化
file-000:product-001:echo-2,mock_echotik_products.xlsx,product_intel/mock_echotik_products.xlsx,echotik,0,1,2,echo-2,Echo Storage Bag,Home,echotik,8.5,10%,430,3655,45,small_test,photo,2,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",Commission rate is at least 8%.,"需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 商家质量证据不足（weak）, 建议先小样本验证",运营提醒：需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,profit_window:medium/56; demand_pain:weak/49; external_trend:weak/35; seasonality:medium/59; competition:medium/61; merchant_quality:weak/45; aigc_fit:strong/90; final:small_test/55,"aigc_fit(90), competition(61), seasonality(59)","external_trend(35), merchant_quality(45), demand_pain(49)",15,判断依据：profit_window: medium (56)；demand_pain: weak (49)；seasonality: medium (59),小样本测试，先发1-2条验证CTR/转化
file-000:product-002:echo-3,mock_echotik_products.xlsx,product_intel/mock_echotik_products.xlsx,echotik,0,2,3,echo-3,Echo Mini Fan,Electronics,echotik,16.8,9%,1200,20160,45,small_test,"photo,video",2,"pain_point_hot_weather, no_installation, small_space_solution","Start with pain_point_hot_weather, no_installation, small_space_solution; keep claims grounded in the Product Fact Sheet.","7-day growth is above 20%., Commission rate is at least 8%.","中风险商品，建议人工复核, 需要人工复核后再发布, 商家质量证据不足（weak）, 建议先小样本验证",必须人工复核：中风险商品，建议人工复核；需要人工复核后再发布；商家质量证据不足（weak）；建议先小样本验证,profit_window:medium/58; demand_pain:medium/72; external_trend:medium/57; seasonality:strong/77; competition:medium/61; merchant_quality:weak/45; aigc_fit:medium/72; final:small_test/57,"seasonality(77), demand_pain(72), aigc_fit(72)","merchant_quality(45), external_trend(57), profit_window(58)",15,判断依据：profit_window: medium (58)；demand_pain: medium (72)；seasonality: strong (77),小样本测试，先发1-2条验证CTR/转化
file-001:product-000:fm-1,mock_fastmoss_products.xlsx,product_intel/mock_fastmoss_products.xlsx,fastmoss,1,0,1,fm-1,FastMoss Cat Bowl,Pet Supplies,fastmoss,15.9,11%,510,8109,55,small_test,photo,2,"pet_behavior, problem_solution, daily_usefulness","Start with pet_behavior, problem_solution, daily_usefulness; keep claims grounded in the Product Fact Sheet.","There are more than 10 related videos., Commission rate is at least 8%.","商家质量证据不足（weak）, 建议先小样本验证",运营提醒：商家质量证据不足（weak）；建议先小样本验证,profit_window:medium/64; demand_pain:medium/57; external_trend:medium/61; seasonality:medium/65; competition:medium/69; merchant_quality:weak/45; aigc_fit:strong/96; final:small_test/62,"aigc_fit(96), competition(69), seasonality(65)","merchant_quality(45), demand_pain(57), external_trend(61)",16,判断依据：profit_window: medium (64)；demand_pain: medium (57)；seasonality: medium (65),小样本测试，先发1-2条验证CTR/转化
file-001:product-001:fm-2,mock_fastmoss_products.xlsx,product_intel/mock_fastmoss_products.xlsx,fastmoss,1,1,2,fm-2,FastMoss Desk Lamp,Home,fastmoss,19.9,8%,390,7761,55,small_test,photo,2,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.","There are more than 10 related videos., Commission rate is at least 8%.","利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 商家质量证据不足（weak）, 建议先小样本验证",运营提醒：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）；建议先小样本验证,profit_window:weak/48; demand_pain:weak/49; external_trend:weak/45; seasonality:medium/59; competition:medium/63; merchant_quality:weak/45; aigc_fit:medium/74; final:small_test/56,"aigc_fit(74), competition(63), seasonality(59)","external_trend(45), merchant_quality(45), profit_window(48)",15,判断依据：profit_window: weak (48)；demand_pain: weak (49)；seasonality: medium (59),小样本测试，先发1-2条验证CTR/转化
file-001:product-002:fm-3,mock_fastmoss_products.xlsx,product_intel/mock_fastmoss_products.xlsx,fastmoss,1,2,3,fm-3,FastMoss Cable Set,Electronics,fastmoss,6.9,13%,920,6348,40,hold,"photo,video",1,"is_it_worth_it, not_an_iq_tax, daily_usefulness","Start with is_it_worth_it, not_an_iq_tax, daily_usefulness; keep claims grounded in the Product Fact Sheet.","There are more than 10 related videos., Commission rate is at least 8%.","中风险商品，建议人工复核, 需要人工复核后再发布, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",必须人工复核：中风险商品，建议人工复核；需要人工复核后再发布；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:medium/64; demand_pain:weak/35; external_trend:weak/45; seasonality:weak/45; competition:medium/63; merchant_quality:weak/45; aigc_fit:medium/56; final:hold/47,"profit_window(64), competition(63), aigc_fit(56)","demand_pain(35), external_trend(45), seasonality(45)",15,判断依据：profit_window: medium (64)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
file-002:product-000:kalo-1,mock_kalodata_products.xlsx,product_intel/mock_kalodata_products.xlsx,kalodata,2,0,1,kalo-1,KaLoData Travel Cup,Kitchen,kalodata,10.9,10%,680,7412,62,small_test,photo,2,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.","There are more than 10 related influencers., Commission rate is at least 8%., Rating and review count show basic buyer validation.","外部趋势证据不足（weak）, 建议先小样本验证",运营提醒：外部趋势证据不足（weak）；建议先小样本验证,profit_window:medium/56; demand_pain:medium/61; external_trend:weak/35; seasonality:medium/59; competition:medium/67; merchant_quality:strong/75; aigc_fit:strong/96; final:small_test/67,"aigc_fit(96), merchant_quality(75), competition(67)","external_trend(35), profit_window(56), seasonality(59)",13,判断依据：profit_window: medium (56)；demand_pain: medium (61)；seasonality: medium (59),小样本测试，先发1-2条验证CTR/转化
file-002:product-001:kalo-3,mock_kalodata_products.xlsx,product_intel/mock_kalodata_products.xlsx,kalodata,2,1,2,kalo-3,KaLoData Makeup Bag,Beauty,kalodata,9.9,9%,440,4356,62,small_test,photo,2,"before_after, daily_usefulness, gift_for_her","Start with before_after, daily_usefulness, gift_for_her; keep claims grounded in the Product Fact Sheet.","There are more than 10 related influencers., Commission rate is at least 8%., Rating and review count show basic buyer validation.","利润窗口偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 功效表达需谨慎，避免缺少证据的效果承诺, 建议先小样本验证",必须人工复核：利润窗口偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；功效表达需谨慎，避免缺少证据的效果承诺；建议先小样本验证,profit_window:weak/40; demand_pain:medium/57; external_trend:weak/47; seasonality:weak/45; competition:medium/61; merchant_quality:strong/75; aigc_fit:strong/86; final:small_test/61,"aigc_fit(86), merchant_quality(75), competition(61)","profit_window(40), seasonality(45), external_trend(47)",13,判断依据：profit_window: weak (40)；demand_pain: medium (57)；seasonality: weak (45),小样本测试，先发1-2条验证CTR/转化
file-002:product-002:kalo-2,mock_kalodata_products.xlsx,product_intel/mock_kalodata_products.xlsx,kalodata,2,2,3,kalo-2,KaLoData Phone Stand,Electronics,kalodata,7.9,12%,760,6004,47,hold,"photo,video",1,"is_it_worth_it, not_an_iq_tax, daily_usefulness","Start with is_it_worth_it, not_an_iq_tax, daily_usefulness; keep claims grounded in the Product Fact Sheet.","There are more than 10 related influencers., Commission rate is at least 8%., Rating and review count show basic buyer validation.","中风险商品，建议人工复核, 需要人工复核后再发布, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, AIGC 适配需人工复核（weak）",必须人工复核：中风险商品，建议人工复核；需要人工复核后再发布；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；AIGC 适配需人工复核（weak）,profit_window:medium/56; demand_pain:weak/47; external_trend:weak/35; seasonality:weak/45; competition:medium/61; merchant_quality:strong/75; aigc_fit:weak/50; final:hold/53,"merchant_quality(75), competition(61), profit_window(56)","external_trend(35), seasonality(45), demand_pain(47)",13,判断依据：profit_window: medium (56)；demand_pain: weak (47)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
file-003:product-000:manual-3,mock_manual_products.xlsx,product_intel/mock_manual_products.xlsx,manual,3,0,1,manual-3,手工桌面风扇,电子,manual,17.9,12%,620,11098,100,main_push,both,3,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.","7-day growth is above 20%., 30-day growth is above 30%., There are more than 10 related videos., There are more than 10 related influencers., Commission rate is at least 8%., Rating and review count show basic buyer validation.","需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）",运营提醒：需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）,profit_window:strong/96; demand_pain:weak/47; external_trend:weak/45; seasonality:weak/45; competition:medium/69; merchant_quality:strong/75; aigc_fit:medium/74; final:main_push/79,"profit_window(96), merchant_quality(75), aigc_fit(74)","external_trend(45), seasonality(45), demand_pain(47)",10,主推依据：profit_window: strong (96)；demand_pain: weak (47)；seasonality: weak (45),今天可主推，进入账号分发表
