rank,product_id,product_name,category,source_platform,price,commission_rate,sold_count,gmv,opportunity_score,decision,suggested_format,suggested_daily_posts,recommended_hooks,content_angle_summary,reasons,risk_flags,ops_risk_note,dimension_summary,strongest_dimensions,weakest_dimensions,missing_evidence_count,main_push_reason,next_action
1,manual_echo_pet_brush,Echo Pet Brush,unknown,manual_or_unknown,,,,,35,hold,photo,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 外部趋势证据不足（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:medium/57; external_trend:weak/51; seasonality:medium/65; competition:medium/61; merchant_quality:weak/45; aigc_fit:strong/90; final:hold/51,"aigc_fit(90), seasonality(65), competition(61)","profit_window(40), merchant_quality(45), external_trend(51)",18,判断依据：profit_window: weak (40)；demand_pain: medium (57)；seasonality: medium (65),暂缓，不进今日主推池，补齐证据后再测
2,manual_echo_storage_bag,Echo Storage Bag,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/49; external_trend:weak/35; seasonality:medium/59; competition:medium/61; merchant_quality:weak/45; aigc_fit:strong/90; final:hold/50,"aigc_fit(90), competition(61), seasonality(59)","external_trend(35), profit_window(40), merchant_quality(45)",17,判断依据：profit_window: weak (40)；demand_pain: weak (49)；seasonality: medium (59),暂缓，不进今日主推池，补齐证据后再测
3,manual_echo_mini_fan,Echo Mini Fan,unknown,manual_or_unknown,,,,,35,hold,video,1,"pain_point_hot_weather, no_installation, small_space_solution","Start with pain_point_hot_weather, no_installation, small_space_solution; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:medium/57; external_trend:medium/57; seasonality:strong/77; competition:medium/61; merchant_quality:weak/45; aigc_fit:strong/90; final:hold/52,"aigc_fit(90), seasonality(77), competition(61)","profit_window(40), merchant_quality(45), demand_pain(57)",17,判断依据：profit_window: weak (40)；demand_pain: medium (57)；seasonality: strong (77),暂缓，不进今日主推池，补齐证据后再测
4,manual_fastmoss_cat_bowl,FastMoss Cat Bowl,unknown,manual_or_unknown,,,,,35,hold,photo,1,"pet_behavior, problem_solution, daily_usefulness","Start with pet_behavior, problem_solution, daily_usefulness; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 外部趋势证据不足（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；外部趋势证据不足（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:medium/57; external_trend:weak/51; seasonality:medium/65; competition:medium/55; merchant_quality:weak/45; aigc_fit:strong/90; final:hold/50,"aigc_fit(90), seasonality(65), demand_pain(57)","profit_window(40), merchant_quality(45), external_trend(51)",18,判断依据：profit_window: weak (40)；demand_pain: medium (57)；seasonality: medium (65),暂缓，不进今日主推池，补齐证据后再测
5,manual_fastmoss_desk_lamp,FastMoss Desk Lamp,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
6,manual_fastmoss_cable_set,FastMoss Cable Set,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
7,manual_kalodata_travel_cup,KaLoData Travel Cup,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
8,manual_kalodata_makeup_bag,KaLoData Makeup Bag,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
9,manual_kalodata_phone_stand,KaLoData Phone Stand,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
10,manual_手工桌面风扇,手工桌面风扇,unknown,manual_or_unknown,,,,,35,hold,both,1,"problem_solution, daily_usefulness, shelf_value_deal","Start with problem_solution, daily_usefulness, shelf_value_deal; keep claims grounded in the Product Fact Sheet.",,"利润窗口偏弱（weak）, 需求痛点证据偏弱（weak）, 外部趋势证据不足（weak）, 季节性支撑偏弱（weak）, 商家质量证据不足（weak）",暂缓补证：利润窗口偏弱（weak）；需求痛点证据偏弱（weak）；外部趋势证据不足（weak）；季节性支撑偏弱（weak）；商家质量证据不足（weak）,profit_window:weak/40; demand_pain:weak/35; external_trend:weak/35; seasonality:weak/45; competition:medium/55; merchant_quality:weak/45; aigc_fit:medium/68; final:hold/43,"aigc_fit(68), competition(55), seasonality(45)","demand_pain(35), external_trend(35), profit_window(40)",17,判断依据：profit_window: weak (40)；demand_pain: weak (35)；seasonality: weak (45),暂缓，不进今日主推池，补齐证据后再测
