product_id,product_name,source_platform,source_detected,rule_decision,opportunity_score,next_action,overall_evidence_coverage,missing_evidence_total,llm_review_result,llm_confidence,final_human_review_priority,final_human_review_reason,llm_challenge_reason,llm_missing_evidence,llm_real_called
echo-1,Echo Pet Brush,echotik,echotik,small_test,60,小样本测试，先发1-2条验证CTR/转化,weak,38,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,不提出 challenge。rule_decision 为 small_test，与 evidence_pack 中整体证据覆盖 weak、外部趋势/竞争/商家质量证据不足，以及最终 next_action 建议先发1-2条验证CTR/转化相一致。当前证据不足以支持更激进决策，但足以支持谨慎小样本验证。,"[""补充 growth_30d 以验证增长持续性"", ""补充 related_video_count 和 related_influencer_count 以判断内容生态热度"", ""补充 Google Trends signal 和 TikTok hashtag volume 等外部趋势证据"", ""补充同款 SKU 数量和竞品价格区间以评估竞争强度"", ""补充商品评分、评论数、评论文本主题和差评聚类以验证需求痛点"", ""补充 shop_rating、product_url、merchant_name 等商家质量证据"", ""补充德国市场宠物用品相关季节性信号""]",True
echo-2,Echo Storage Bag,echotik,echotik,small_test,45,小样本测试，先发1-2条验证CTR/转化,weak,36,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,不提出challenge。rule_decision为small_test，与证据包中的弱整体覆盖、多个关键维度证据不足以及风险提示一致；现有销量、GMV和7日增长可支持小样本验证，但不足以支持更激进决策。,"[""补充growth_30d以验证趋势持续性"", ""补充related_video_count和related_influencer_count以判断内容扩散与达人带货基础"", ""补充review text themes、negative review clusters、rating、review_count以验证真实需求痛点"", ""补充same SKU count和price range by competitor以判断竞争格局"", ""补充shop_rating、merchant_name、product_url以评估商家质量与履约风险""]",True
echo-3,Echo Mini Fan,echotik,echotik,small_test,45,小样本测试，先发1-2条验证CTR/转化,weak,36,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,不提出 challenge。rule_decision 为 small_test，和当前证据中的 opportunity_score 45、整体证据覆盖 weak、商家质量 weak 以及多项人工复核/小样本验证风险提示一致。现有证据不足以支持放量或直接发布，但足以支持谨慎小样本测试并人工复核。,"[""补充 growth_30d 以验证增长持续性"", ""补充 related_video_count 和 related_influencer_count 以验证内容传播强度"", ""补充 rating、review_count、review text themes、negative review clusters 以验证需求痛点和质量风险"", ""补充 same SKU count、price range by competitor、top creative monopoly check 以判断竞争强度"", ""补充 merchant_name、shop_rating、product_url 等商家质量证据""]",True
fm-1,FastMoss Cat Bowl,fastmoss,fastmoss,small_test,55,小样本测试，先发1-2条验证CTR/转化,weak,35,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,,"[""补充growth_7d和growth_30d以验证增长趋势"", ""补充rating、review_count、shop_rating以验证商家和商品质量"", ""抓取review text themes和negative review clusters以确认真实需求痛点"", ""补充same SKU count和price range by competitor以评估竞争强度"", ""补充top creative monopoly check和related_influencer_count以判断内容分发空间"", ""补充market-specific pet season signal以验证德国市场季节性影响""]",True
fm-2,FastMoss Desk Lamp,fastmoss,fastmoss,small_test,55,小样本测试，先发1-2条验证CTR/转化,weak,33,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,rule_decision 为 small_test，与 rule_score 55、overall_evidence_coverage weak 以及利润窗口、需求痛点、外部趋势、商家质量等风险提示一致。现有证据不足以支持放量，但足以支持谨慎的小样本验证，因此不提出 challenge。,"[""补充 growth_7d 与 growth_30d，验证近期增长趋势"", ""补充 review text themes、negative review clusters、rating、review_count，验证真实需求痛点"", ""补充 same SKU count、price range by competitor、top creative monopoly check，判断竞争强度"", ""补充 shop_rating、merchant_name、review_count，评估商家质量"", ""补充 TikTok hashtag volume、Google Trends signal、related_influencer_count，验证外部趋势与内容扩散潜力"", ""小样本发布1-2条素材后回收 CTR、CVR、CPA、GMV 或加购数据""]",True
fm-3,FastMoss Cable Set,fastmoss,fastmoss,hold,40,暂缓，不进今日主推池，补齐证据后再测,weak,33,agree,high,low,LLM Judge 高置信同意规则结果,不提出challenge。rule_decision为hold，与证据包中的overall_evidence_coverage=weak、missing_evidence_total=33、多项维度证据偏弱以及final.next_action=暂缓一致。当前证据不足以支持放行或进入主推池。,"[""补充7日和30日销量/GMV增长数据"", ""补充评论文本主题、差评聚类、评分和评论数"", ""补充Google Trends、TikTok hashtag量、Instagram/Reels和YouTube Shorts趋势证据"", ""补充同款SKU数量、竞品价格区间和头部素材垄断检查"", ""补充商家名称、店铺评分、商品评分和评论数"", ""补充德国市场下该品类或该商品的季节性销量/搜索趋势""]",True
kalo-1,KaLoData Travel Cup,kalodata,kalodata,small_test,62,小样本测试，先发1-2条验证CTR/转化,weak,28,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,不提出challenge。rule_decision为small_test，与当前证据状态一致：机会分62且已有一定销量、评分、评论和GMV基础，但外部趋势与竞争证据不足，适合先进行1-2条内容的小样本验证，而不是直接放量。,"[""补充growth_7d与growth_30d，确认近期增长方向"", ""补充related_video_count及强弱判断，确认内容扩散能力"", ""补充Google Trends signal与TikTok hashtag volume，验证外部趋势"", ""补充Instagram/Reels与YouTube Shorts context，验证跨平台内容热度"", ""补充same SKU count与price range by competitor，判断竞争拥挤度和价格带"", ""补充top creative monopoly check，判断头部素材垄断风险"", ""补充negative review clusters，确认真实用户痛点"", ""补充shop_rating、merchant_name、product_url等商家标准化信息""]",True
kalo-3,KaLoData Makeup Bag,kalodata,kalodata,small_test,62,小样本测试，先发1-2条验证CTR/转化,weak,28,agree,medium,medium,LLM Judge 同意规则结果，但置信度有限，建议常规人工抽查,不提出challenge。基于现有证据，rule_decision=small_test是谨慎决策，与rule_score 62、overall_evidence_coverage weak以及风险标记一致；证据不足以支持放量，但足以支持小样本验证。,"[""补充7日和30日销量/GMV增长数据"", ""补充related_video_count及视频互动数据"", ""补充TikTok hashtag volume和外部趋势信号"", ""补充同款SKU数量与竞品价格带"", ""补充头部素材垄断检查"", ""补充负面评论聚类以验证真实痛点"", ""补充shop_rating、merchant_name和product_url"", ""补充德国市场季节性事件或历史季节性销售数据""]",True
kalo-2,KaLoData Phone Stand,kalodata,kalodata,hold,47,暂缓，不进今日主推池，补齐证据后再测,weak,28,agree,high,low,LLM Judge 高置信同意规则结果,不提出 challenge。rule_decision=hold 与当前证据一致：整体证据覆盖为 weak，缺失证据总数为 28，外部趋势证据弱，利润窗口和竞争仅中等，且存在多项人工复核风险标记。,"[""growth_7d"", ""growth_30d"", ""related_video_count"", ""Google Trends signal"", ""TikTok hashtag volume"", ""same SKU count"", ""price range by competitor"", ""top creative monopoly check"", ""negative review clusters"", ""product_url"", ""shop_rating""]",True
manual-3,手工桌面风扇,manual,manual,main_push,100,今天可主推，进入账号分发表,strong,16,challenge,high,high,规则建议主推，但 LLM Judge 提出挑战，需人工复核,rule_decision为main_push且rule_score为100，但evidence_pack显示总缺失证据16项，并且risk_flags已标记需求痛点、外部趋势、季节性支撑偏弱。尤其外部趋势缺少Google Trends、TikTok hashtag、Instagram/Reels、YouTube Shorts等信号；竞争缺少同款SKU数量、竞品价格区间和头部素材垄断检查；季节性仅有类目和市场字段。当前证据更适合谨慎主推或补证后确认，不足以支撑满分主推判断。,"[""补充negative review clusters，验证具体需求痛点和高频抱怨场景"", ""补充Google Trends signal或其他市场趋势信号"", ""补充TikTok hashtag volume及相关内容增长数据"", ""补充Instagram/Reels context和YouTube Shorts context"", ""补充德国市场季节性需求曲线或历史季节销量数据"", ""补充same SKU count，判断同款拥挤度"", ""补充price range by competitor，判断价格竞争力"", ""补充top creative monopoly check，判断是否被头部素材垄断"", ""补充merchant_name和shop_rating，完善商家质量判断""]",True
